State,Constituency,CDU Cons,CDU List,SPD Cons,SPD List,Die Linke Cons,Die Linke List,Grüne Cons,Grüne List,CSU Cons,CSU List
Bayern,235,0,0,25881,26484,3117,3982,4531,5072,64930,62126
Bayern,236,0,0,28794,24924,4365,5143,10283,11267,65723,61546
Bayern,237,0,0,29344,26676,3246,3783,7189,7803,63936,56846
Bayern,238,0,0,35785,30708,3681,4415,4274,6309,55309,51567
Bayern,239,0,0,33731,31406,5264,5619,6449,6315,64888,55219
Bayern,240,0,0,27587,26030,3616,4392,4845,6396,68903,63378
Bayern,241,0,0,38331,36690,6202,6368,9665,13771,87922,78640
Bayern,242,0,0,35377,32638,5611,5840,11980,15395,65151,55940
Bayern,243,0,0,47936,44485,7524,8816,14595,16126,86997,75595
Bayern,244,0,0,41666,35310,8099,9311,13336,17444,51829,45748
Bayern,245,0,0,38942,34363,6038,6948,8165,9705,53519,48881
Bayern,246,0,0,46200,41107,6064,6394,11142,14247,84618,76181
Bayern,247,0,0,32308,28408,3641,4691,10284,11135,67591,61741
Bayern,248,0,0,30564,27931,6930,6946,12127,9874,88911,82760
Bayern,249,0,0,32812,30486,4426,4839,8810,9972,73001,69953
Bayern,250,0,0,32190,28872,7514,6940,8052,9903,76548,71264
Bayern,251,0,0,42136,37225,5374,6637,16454,19311,80776,74187
Bayern,252,0,0,33145,29328,6408,7391,14568,13940,58622,57699
Bayern,253,0,0,30879,30126,5177,5631,12067,12670,105841,93973
Bayern,254,0,0,22858,21616,5797,4260,8153,7773,78524,72065
Bayern,255,0,0,29420,29023,5546,5958,12505,10417,91961,84598
Bayern,256,0,0,26722,24776,5530,5574,13011,14329,93494,80902
Bayern,257,0,0,25009,24971,4731,5270,10039,11785,99333,91664
Saarland,296,51324,46513,50286,43329,15202,16268,7422,10910,0,0
Saarland,297,66694,60052,52303,46037,10936,13458,5577,7873,0,0
Saarland,298,60865,54911,44868,40861,10247,12139,3793,6088,0,0
Saarland,299,55250,50892,52266,44365,12592,14180,4954,7127,0,0
Berlin,75,33265,31544,39360,36403,23200,26068,25687,23329,0,0
Berlin,76,41295,40617,36180,38030,48926,43472,25442,24300,0,0
Berlin,77,58845,52545,38593,34571,8508,10394,8790,11427,0,0
Berlin,78,50071,46757,47790,36932,9199,12146,5942,10542,0,0
Berlin,79,73460,64500,50540,44371,9102,12426,20416,23487,0,0
Berlin,80,56079,49285,47619,41058,9368,13446,22176,23324,0,0
Berlin,81,60926,55275,45659,47834,12801,17937,35461,26941,0,0
Berlin,82,42092,40038,44528,36211,16144,19677,16126,19156,0,0
Berlin,83,22723,25474,29799,39784,28441,41639,66056,34420,0,0
Berlin,84,33036,37170,26093,31204,61661,43118,7344,10787,0,0
Berlin,85,33552,33947,22341,25103,50866,43026,4071,5068,0,0
Berlin,86,30988,31491,26636,27886,54932,47158,5748,7956,0,0
Brandenburg,56,34115,37305,30079,25638,24519,23048,2790,3532,0,0
Brandenburg,57,38394,36377,23235,22475,25673,23572,2825,3580,0,0
Brandenburg,58,65081,63199,48668,41603,34046,32023,8510,9861,0,0
Brandenburg,59,58210,55340,34745,37323,56391,44996,5876,7213,0,0
Brandenburg,60,39973,41489,40306,32002,28974,27921,2952,4578,0,0
Brandenburg,61,58399,56449,57669,44723,35914,37294,12903,16241,0,0
Brandenburg,62,61487,57867,45078,37780,36284,36310,6324,7425,0,0
Brandenburg,63,44822,44301,32291,29631,37008,32862,5192,5266,0,0
Brandenburg,64,44301,44230,29510,26863,24681,27965,3278,4382,0,0
Brandenburg,65,47454,46044,26132,23136,27137,25321,2899,3104,0,0
Mecklenburg-Vorpommern,12,56966,59081,37864,31566,32404,29869,5205,6538,0,0
Mecklenburg-Vorpommern,13,57917,56922,30711,26641,30812,28803,4641,5448,0,0
Mecklenburg-Vorpommern,14,52661,57188,27498,29010,46160,35792,11216,9874,0,0
Mecklenburg-Vorpommern,15,87142,69683,21688,22630,29847,31930,4728,7372,0,0
Mecklenburg-Vorpommern,16,67069,65767,22870,21603,34972,31658,3359,4010,0,0
Mecklenburg-Vorpommern,17,62852,60407,25029,22981,30284,28819,4083,4474,0,0
Sachsen,151,49906,49473,22316,16970,23843,22696,3399,3144,0,0
Sachsen,152,54566,50481,29511,25286,31923,29122,7683,9466,0,0
Sachsen,153,52077,49553,35515,28778,37750,34302,13732,17075,0,0
Sachsen,154,76273,68348,23542,22681,31865,29716,4905,4899,0,0
Sachsen,155,76666,64622,18090,18024,25279,26735,4817,5721,0,0
Sachsen,156,74794,69335,17268,18502,32452,30290,3709,4249,0,0
Sachsen,157,74204,66106,22741,18839,29550,29380,5045,5044,0,0
Sachsen,158,72644,66673,15442,15865,27571,24848,4244,5158,0,0
Sachsen,159,72537,68192,25321,26440,42599,32505,10429,13517,0,0
Sachsen,160,71227,66092,25150,23943,32588,31059,16650,16304,0,0
Sachsen,161,74209,64971,22079,19070,29079,29525,4583,4703,0,0
Sachsen,162,55909,52380,28101,23558,31992,31014,6475,7168,0,0
Sachsen,163,65157,59939,20517,19178,28783,26434,4874,4282,0,0
Sachsen,164,79318,73098,19143,20114,32472,30741,5051,3964,0,0
Sachsen,165,64857,64872,23033,21686,35847,31061,4334,4653,0,0
Sachsen,166,65743,60466,28172,21885,26707,27617,3540,4569,0,0
Sachsen-Anhalt,66,44686,44655,18616,20196,32164,26180,2998,3542,0,0
Sachsen-Anhalt,67,61890,60207,32118,27279,29759,30235,3611,4281,0,0
Sachsen-Anhalt,68,59779,56619,24875,24407,29860,29875,4928,4716,0,0
Sachsen-Anhalt,69,55046,56982,38153,31763,38231,36473,6073,8490,0,0
Sachsen-Anhalt,70,53048,50633,20545,20354,26015,27136,5196,4703,0,0
Sachsen-Anhalt,71,56514,57357,21244,23224,39715,35425,2884,3572,0,0
Sachsen-Anhalt,72,51206,53265,32957,25259,36006,34449,5286,10185,0,0
Sachsen-Anhalt,73,54544,52194,18791,19850,31300,28933,4760,3732,0,0
Sachsen-Anhalt,74,54705,53869,23560,22399,35982,33613,3193,3637,0,0
Thüringen,189,65784,59234,21826,20182,26091,26322,4129,5293,0,0
Thüringen,190,55220,51442,23564,21731,30220,28787,4129,5121,0,0
Thüringen,191,54350,49099,21469,19365,33239,30821,3948,4734,0,0
Thüringen,192,51861,53196,34726,23815,28015,30758,4117,6414,0,0
Thüringen,193,56992,53123,36694,27159,35917,35421,9151,13125,0,0
Thüringen,194,59731,57690,30310,26279,44657,42367,7863,11435,0,0
Thüringen,195,51013,47580,15873,16213,27627,26173,3211,3842,0,0
Thüringen,196,59153,54859,28521,23002,37908,35819,5674,5442,0,0
Thüringen,197,53979,51060,23519,20968,35147,32147,3704,5105,0,0
